"Дата";"04.11.2013";"11.11.2013"
"Линия";"Количество";"Время"
"Cryptostore(74996538205)";"23";"00:40:18"
"Cryptostore(78005553905)";"83";"01:59:52"
"Digt Free";"41";"02:43:10"
"Digt Moscow";"27";"01:06:09"
"Digt Yola";"226";"05:02:13"
"Статусы";"Количество";"Время"
"отвеченный";"236";"10:42:12"
"занят";"3";"00:00:00"
"занят при дозвоне";"29";"00:00:00"
"call/transaction_does_not_exist";"1";"00:00:00"
"отменен";"24";"00:00:00"
"недоступен";"1";"00:00:00"
"сбой вызова";"24";"00:40:43"
"не найден";"3";"00:00:00"
"отменен";"14";"00:00:00"
"request_timeout_[call_processing_released]";"1";"00:00:00"
"server_too_busy";"2";"00:00:00"
"service_unavailable_[channel_query_rejected]";"12";"00:00:00"
"недоступен";"39";"00:00:00"
"временно недоступен";"1";"00:00:00"
"переведённый";"10";"00:08:47"
